n_models,n_tasks,elapsed_lomo,elapsed_lasomo,plan
63,6,1.076,NA,multisession
64,6,0.902,NA,multisession
65,6,1.001,NA,multisession
66,6,0.866,NA,multisession
67,6,0.901,NA,multisession
68,6,0.891,NA,multisession
69,6,0.95,NA,multisession
70,6,0.911,NA,multisession
71,6,0.955,NA,multisession
72,6,0.957,NA,multisession
73,6,0.998,NA,multisession
74,6,0.945,NA,multisession
75,6,0.992,NA,multisession
76,6,0.958,NA,multisession
77,6,1.024,NA,multisession
78,6,1.044,NA,multisession
79,6,0.983,NA,multisession
80,6,1.063,NA,multisession
81,6,1.034,NA,multisession
82,6,1.064,NA,multisession
83,6,1.126,NA,multisession
84,6,1.094,NA,multisession
85,6,1.072,NA,multisession
86,6,1.097,NA,multisession
87,6,1.14,NA,multisession
88,6,1.098,NA,multisession
89,6,1.124,NA,multisession
90,6,1.127,NA,multisession
91,6,1.133,NA,multisession
92,6,1.227,NA,multisession
93,6,1.43,NA,multisession
94,6,1.23,NA,multisession
95,6,1.235,NA,multisession
96,6,1.377,NA,multisession
97,6,1.24,NA,multisession
98,6,1.248,NA,multisession
99,6,1.35,NA,multisession
100,6,1.307,NA,multisession
11,7,0.252,NA,multisession
12,7,0.331,NA,multisession
13,7,0.289,NA,multisession
14,7,0.335,NA,multisession
15,7,0.306,NA,multisession
16,7,0.337,NA,multisession
17,7,0.32,NA,multisession
18,7,0.343,NA,multisession
19,7,0.36,NA,multisession
20,7,0.445,NA,multisession
21,7,0.376,NA,multisession
22,7,0.38,NA,multisession
23,7,0.405,NA,multisession
24,7,0.414,NA,multisession
25,7,0.471,NA,multisession
26,7,0.426,NA,multisession
27,7,0.476,NA,multisession
28,7,0.465,NA,multisession
29,7,0.47,NA,multisession
30,7,0.475,NA,multisession
31,7,0.486,NA,multisession
32,7,0.493,NA,multisession
33,7,0.547,NA,multisession
34,7,0.526,NA,multisession
35,7,0.54,NA,multisession
36,7,0.701,NA,multisession
37,7,0.569,NA,multisession
38,7,0.569,NA,multisession
39,7,0.579,NA,multisession
40,7,0.607,NA,multisession
41,7,0.599,NA,multisession
42,7,0.645,NA,multisession
43,7,0.63,NA,multisession
44,7,0.709,NA,multisession
45,7,0.682,NA,multisession
46,7,0.65,NA,multisession
47,7,0.705,NA,multisession
48,7,0.801,NA,multisession
49,7,0.708,NA,multisession
50,7,0.762,NA,multisession
51,7,0.96,NA,multisession
52,7,0.883,NA,multisession
53,7,0.801,NA,multisession
54,7,0.772,NA,multisession
55,7,0.782,NA,multisession
56,7,0.787,NA,multisession
57,7,0.812,NA,multisession
58,7,0.842,NA,multisession
59,7,0.855,NA,multisession
60,7,0.85,NA,multisession
61,7,0.856,NA,multisession
62,7,0.88,NA,multisession
63,7,0.87,NA,multisession
64,7,0.938,NA,multisession
65,7,0.945,NA,multisession
66,7,0.892,NA,multisession
67,7,0.914,NA,multisession
68,7,0.92,NA,multisession
69,7,1.039,NA,multisession
70,7,1.103,NA,multisession
71,7,0.984,NA,multisession
72,7,0.974,NA,multisession
73,7,0.981,NA,multisession
74,7,1.026,NA,multisession
75,7,1.023,NA,multisession
76,7,1.049,NA,multisession
77,7,1.092,NA,multisession
78,7,1.078,NA,multisession
79,7,1.055,NA,multisession
80,7,1.119,NA,multisession
81,7,1.158,NA,multisession
82,7,1.199,NA,multisession
83,7,1.091,NA,multisession
84,7,1.145,NA,multisession
85,7,1.104,NA,multisession
86,7,1.15,NA,multisession
87,7,1.119,NA,multisession
88,7,1.158,NA,multisession
89,7,1.15,NA,multisession
90,7,1.18,NA,multisession
91,7,1.191,NA,multisession
92,7,1.167,NA,multisession
93,7,1.226,NA,multisession
94,7,1.241,NA,multisession
95,7,1.207,NA,multisession
96,7,1.202,NA,multisession
97,7,1.27,NA,multisession
98,7,1.283,NA,multisession
99,7,1.279,NA,multisession
100,7,1.308,NA,multisession
11,8,0.325,NA,multisession
12,8,0.276,NA,multisession
13,8,0.383,NA,multisession
14,8,0.372,NA,multisession
15,8,0.363,NA,multisession
16,8,0.332,NA,multisession
17,8,0.344,NA,multisession
18,8,0.376,NA,multisession
19,8,0.372,NA,multisession
20,8,0.426,NA,multisession
21,8,0.383,NA,multisession
22,8,0.407,NA,multisession
23,8,0.406,NA,multisession
24,8,0.415,NA,multisession
25,8,0.412,NA,multisession
26,8,0.505,NA,multisession
27,8,0.46,NA,multisession
28,8,0.463,NA,multisession
29,8,0.809,NA,multisession
30,8,0.624,NA,multisession
31,8,0.516,NA,multisession
32,8,0.544,NA,multisession
33,8,0.581,NA,multisession
34,8,0.569,NA,multisession
35,8,0.574,NA,multisession
36,8,0.599,NA,multisession
37,8,0.582,NA,multisession
38,8,0.864,NA,multisession
39,8,0.586,NA,multisession
40,8,0.6,NA,multisession
41,8,0.667,NA,multisession
42,8,0.625,NA,multisession
43,8,0.694,NA,multisession
44,8,0.689,NA,multisession
45,8,0.665,NA,multisession
46,8,0.704,NA,multisession
47,8,0.715,NA,multisession
48,8,0.737,NA,multisession
49,8,0.747,NA,multisession
50,8,0.731,NA,multisession
51,8,0.944,NA,multisession
52,8,0.825,NA,multisession
53,8,0.821,NA,multisession
